               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042048,            0.016122,          9.9233e-07,            0.073632,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00128,             0.00128,             0.08848
                   1,            0.028699,            0.014925,          3.0467e-07,            0.070246,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025543,           0.0025543,            0.076854
                   2,            0.028858,            0.015237,          1.7138e-07,            0.071654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037665,           0.0037665,            0.065166
                   3,            0.028502,            0.015352,          1.0028e-07,            0.068357,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048721,           0.0048721,            0.053372
                   4,            0.031237,            0.015173,          6.5461e-08,             0.06972,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058312,           0.0058312,            0.041431
                   5,             0.03156,            0.015593,          4.6412e-08,            0.069965,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066093,           0.0066093,            0.029309
                   6,            0.030903,            0.016171,          3.9842e-08,            0.074965,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071795,           0.0071795,             0.01698
                   7,            0.031972,            0.016688,          3.4438e-08,            0.073859,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072973,           0.0072973,           0.0072973
                   8,            0.031286,            0.016799,          3.2141e-08,            0.075022,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072973,           0.0072973,           0.0072973
                   9,            0.030914,            0.016342,          3.1305e-08,             0.07526,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065796,           0.0065796,           0.0065796
                  10,            0.028602,            0.016023,          3.0626e-08,            0.069155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058244,           0.0058244,           0.0058244
                  11,            0.026218,             0.01494,          2.9884e-08,            0.066088,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.024234,            0.014425,          2.9277e-08,            0.064236,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042756,           0.0042756,           0.0042756
                  13,            0.022424,            0.013664,          2.8697e-08,            0.062186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035204,           0.0035204,           0.0035204
                  14,            0.021419,            0.013125,          2.8116e-08,            0.060144,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028027,           0.0028027,           0.0028027
                  15,            0.019857,            0.012681,          2.7701e-08,             0.05832,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021405,           0.0021405,           0.0021405
                  16,            0.018741,             0.01235,          2.7371e-08,            0.057156,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015498,           0.0015498,           0.0015498
                  17,            0.017676,            0.012105,          2.7227e-08,            0.056483,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010454,           0.0010454,           0.0010454
                  18,            0.017268,            0.011784,          2.7116e-08,            0.055296,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00063952,          0.00063952,          0.00063952
                  19,            0.016844,            0.011769,          2.7062e-08,            0.054994,             0.97025,             0.97908,              0.9879,             0.81833,            0.015809,            0.016008,          2.6144e-08,            0.057209,          0.00034227,          0.00034227,          0.00034227
